time,x,y,z,vx,vy,vz,m,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b,R1,R2
2.170000000000000284e+01,3.191651325804886058e-02,-1.602464662212256530e-02,1.134473773357662418e+00,-5.141531158173878041e-03,2.700099447785472145e-02,-1.241494821097683277e+00,8.077222618023698342e-01,4.658542923457588414e-02,4.954085012289310974e-02,-1.409600423460657601e-02,8.707959173135645159e+00,2.415184894406213756e-02,-7.653169893862818429e-02,3.889992429311678324e-02,5.208921394140962613e-02
2.180000000000000071e+01,3.123386292505137690e-02,-1.158620489239852586e-02,1.021417831917089236e+00,-6.826503329974833306e-03,4.438441729724038054e-02,-1.130559414405732266e+00,8.068557358306197580e-01,3.995416850628399213e-02,5.513645650737286630e-02,-1.387795358705607753e-02,8.665259717500477521e+00,4.793721963617800230e-02,-3.128132892994400088e-02,3.255099570740239284e-02,5.843970093927290665e-02
2.190000000000000213e+01,3.092547512352234254e-02,-9.300931310040333813e-03,9.180012246279239951e-01,-3.083878015290344044e-03,2.285273582358192390e-02,-1.034166072891652188e+00,8.059981919796158634e-01,3.226379374457698235e-02,5.973477003668636875e-02,-1.377407334740722057e-02,8.575438510038587481e+00,5.851802577367962166e-02,-6.150851991949961989e-02,2.656711000022610181e-02,6.443343589896849410e-02
2.200000000000000000e+01,3.068429323028267625e-02,-6.928444880801448887e-03,8.235119114371297622e-01,-2.411818932396659482e-03,2.372486429238884753e-02,-9.448931319079418856e-01,8.051465399576505089e-01,2.401890047706192743e-02,6.331285723352264583e-02,-1.378442851893034622e-02,8.516520219653980206e+00,6.029912612785252174e-02,-3.234351070457784638e-02,2.118679071061685751e-02,6.983444347203979219e-02
2.210000000000000142e+01,3.032094160866587521e-02,-4.577598962165853498e-03,7.375837813247165808e-01,-3.633516216168001731e-03,2.350845918635595042e-02,-8.592813011241318133e-01,8.042988386716984905e-01,1.534144004277133294e-02,6.583801198049377135e-02,-1.390385350982312543e-02,8.477012859520531407e+00,6.236013468999625220e-02,-2.519856786386516154e-02,1.667605525277955636e-02,7.451117073923632650e-02
2.220000000000000284e+01,2.976069330453412834e-02,-2.404636808384746222e-03,6.594762317977787003e-01,-5.602483041317475598e-03,2.172962153781107103e-02,-7.810754952693784725e-01,8.034570830126431806e-01,6.354639907520996320e-03,6.728206278419590625e-02,-1.412238351187205566e-02,8.417556590552694118e+00,6.432823991901687188e-02,-1.801988072692870674e-02,1.345942104166224403e-02,7.831249166666878758e-02
2.230000000000000071e+01,2.905760250215181500e-02,-3.999666870693491944e-04,5.882243188061544448e-01,-7.030908023823115131e-03,2.004670121315397027e-02,-7.125191299162426661e-01,8.026223717010845249e-01,-2.786556218626991439e-03,6.761846492862200186e-02,-1.442557552351965422e-02,8.347113115586498822e+00,6.634304709461702476e-02,-8.922289618933760061e-03,1.150099447554405602e-02,8.090540419952477191e-02
2.240000000000000213e+01,2.825064446415962230e-02,1.409664424185531678e-03,5.231356642226940856e-01,-8.069580379921914917e-03,1.809631111254880742e-02,-6.508865458346038135e-01,8.017926634783083539e-01,-1.193226644543569567e-02,6.683953038335554986e-02,-1.479543387818598246e-02,8.297082227761634954e+00,6.710383674203003468e-02,-1.925704069218175658e-05,1.060768754952415294e-02,8.225098136210046151e-02
2.250000000000000000e+01,2.687369267120110275e-02,3.711339604177421765e-03,4.636147491375481877e-01,-1.376951792958517988e-02,2.301675179991890044e-02,-5.952091508514587570e-01,8.009673682897484603e-01,-2.081826693247096002e-02,6.503502958217177721e-02,-1.521309475204357144e-02,8.252951885598983850e+00,6.194616049539523189e-02,1.589114298401621966e-02,1.071519756782756717e-02,8.221536378721949756e-02
2.260000000000000142e+01,2.537302745796033918e-02,5.995752308278997841e-03,4.091882260039185759e-01,-1.500665213240763747e-02,2.284412704101575903e-02,-5.442652313362962291e-01,8.001454864936021760e-01,-2.937925085624211105e-02,6.216905884649959191e-02,-1.565722521176054691e-02,8.218817961462558941e+00,6.438267094319256867e-02,1.980608636887584012e-02,1.209121354584687981e-02,8.086377619995772925e-02
2.270000000000000284e+01,2.384522568175841128e-02,8.019873004033813493e-03,3.595240945937632771e-01,-1.527801776201925983e-02,2.024120695754814958e-02,-4.966413141015529331e-01,7.993266196528667766e-01,-3.751268973600473122e-02,5.827737994443671354e-02,-1.610665266890362254e-02,8.188668407354340317e+00,6.245648683065060242e-02,2.602469701056916301e-02,1.473823553783185948e-02,7.821929219535975197e-02
2.280000000000000071e+01,2.226533163116616726e-02,9.818020143083602477e-03,3.141948488423040864e-01,-1.579894050592245414e-02,1.798147139049788290e-02,-4.532924575145918511e-01,7.985112533045150007e-01,-4.508063028924429866e-02,5.343043750553855276e-02,-1.654177984781487337e-02,8.153663483517981092e+00,5.841623811879342182e-02,3.451189201244148769e-02,1.863869135484274089e-02,7.432410222342059058e-02
2.290000000000000213e+01,2.063324967438766658e-02,1.142048293804441561e-02,2.727699707403031804e-01,-1.632081956778499293e-02,1.602462794960813133e-02,-4.142487810200090603e-01,7.976993923722169866e-01,-5.195647522221018277e-02,4.771020571227313489e-02,-1.694524859913712142e-02,8.118609322979876808e+00,5.365947849650207213e-02,4.239978613808426805e-02,2.362161240019215735e-02,6.934494453328066133e-02
2.300000000000000000e+01,1.861568116140913803e-02,1.311783182237720446e-02,2.348745677253528952e-01,-2.017568512978529932e-02,1.697348884332787813e-02,-3.789540301495027963e-01,7.968906620853479783e-01,-5.798358403913106418e-02,4.126429028198108639e-02,-1.730584547105918150e-02,8.087302868690423807e+00,4.479192015799440124e-02,5.223478878776630779e-02,2.951372642295273588e-02,6.345599884471940511e-02
2.310000000000000142e+01,1.652716450383784688e-02,1.460362658330719224e-02,2.003625117632803487e-01,-2.088516657571291846e-02,1.485794760929987600e-02,-3.451205596207254089e-01,7.960841166683797487e-01,-6.311428732043172785e-02,3.414640639987820414e-02,-1.761060169842350309e-02,8.065454169682100272e+00,4.161600598089305880e-02,5.531742118940161795e-02,3.606107474445548189e-02,5.690965475107565008e-02
2.320000000000000284e+01,1.443975769196428026e-02,1.583473499273692353e-02,1.688430642194048148e-01,-2.087406811873566970e-02,1.231108409429732160e-02,-3.151944754387553393e-01,7.952808078528442737e-01,-6.727626290353148908e-02,2.646243557114646983e-02,-1.785229243975305566e-02,8.033088155354839444e+00,3.527014368114438775e-02,6.007318264589579793e-02,4.300093236084345794e-02,4.997240514300727715e-02
