time,x,y,z,vx,vy,vz,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b
6.700000000000000178e+00,7.620027921025538387e-01,1.263670359684327726e+00,-1.536179834135568356e+00,-1.138820490422017412e-01,3.872338177621140964e+00,-5.729485424823319129e+00,-1.140336801125096278e+00,3.197284515813243466e-01,7.070828308800322648e-02,1.499716554900183318e+01,-2.617349294523564907e-01,0.000000000000000000e+00
6.800000000000000711e+00,7.499954228971549286e-01,1.583555492954366706e+00,-2.065572372183341443e+00,-1.200736920539890312e-01,3.198851332700388461e+00,-5.293925380477730869e+00,-1.051903739050317643e+00,3.232349012080411033e-01,9.501298575129497881e-02,6.440534910570987925e+00,-2.612735250344039306e-01,0.000000000000000000e+00
6.900000000000000355e+00,7.356550426070964654e-01,2.009635947394199373e+00,-2.666276326311389333e+00,-1.434038029005843540e-01,4.260804544398324900e+00,-6.007039541280477124e+00,-9.601993368928152250e-01,3.241137692091271560e-01,1.197586834528381605e-01,1.230240667031786472e+01,-2.615935745830739179e-01,0.000000000000000000e+00
7.000000000000000000e+00,7.197866452077694710e-01,2.552429122236189230e+00,-3.320297814741556053e+00,-1.586839739932704163e-01,5.427931748419895897e+00,-6.540214884301667198e+00,-8.643782417494008108e-01,3.223934741172713725e-01,1.446920057708773466e-01,1.392229973059968984e+01,-2.613965613481269989e-01,0.000000000000000000e+00
7.100000000000000533e+00,7.045597174500712878e-01,3.191374038204108032e+00,-3.977991161788447805e+00,-1.522692775769822204e-01,6.389449159679185364e+00,-6.576933470468914855e+00,-7.598693107968259586e-01,3.169957343329219412e-01,1.705029747959123376e-01,1.499154857727068446e+01,-2.614496714610552441e-01,0.000000000000000000e+00
7.200000000000000178e+00,6.944586641537835447e-01,3.783087629144291864e+00,-4.527539290310669706e+00,-1.010105329628770976e-01,5.917135909401839200e+00,-5.495481285222216350e+00,-6.319366948388099869e-01,3.035137708360406972e-01,1.998739193267748404e-01,1.139775355535595658e+01,-2.609773920380378254e-01,0.000000000000000000e+00
7.300000000000000711e+00,6.901859894128103967e-01,4.280984789190020123e+00,-5.035884757925946253e+00,-4.272674740973132074e-02,4.978971600457279045e+00,-5.083454676152766361e+00,-4.889289258979570008e-01,2.817465081811556527e-01,2.298587683599826736e-01,7.621056350606632002e-01,-2.614958976135872137e-01,0.000000000000000000e+00
7.400000000000000355e+00,6.976398443798523807e-01,4.763062381826928871e+00,-5.390540834257028457e+00,7.453854967041934065e-02,4.820775926369087472e+00,-3.546560763310824704e+00,-3.278445077830551280e-01,2.498862465542086575e-01,2.582764123910796239e-01,1.261691528894908032e+01,-2.600826351250781210e-01,0.000000000000000000e+00
7.500000000000000000e+00,7.238696890465990963e-01,5.336076392736043061e+00,-5.640853465847504467e+00,2.622984466674669890e-01,5.730140109091140133e+00,-2.503126315904763644e+00,-1.633993916507325284e-01,2.125575462925375358e-01,2.806884744897875095e-01,1.427853799879942898e+01,-2.615890990253486592e-01,0.000000000000000000e+00
7.600000000000000533e+00,7.675327032381660253e-01,5.983830435200234277e+00,-5.809741416946266668e+00,4.366301419156689012e-01,6.477540424641913042e+00,-1.688879510987625121e+00,2.438701724189348830e-03,1.715316953974623804e-01,2.959094873483911758e-01,1.499965448297700732e+01,-2.617500860193542889e-01,0.000000000000000000e+00
7.700000000000000178e+00,8.191053882105631123e-01,6.540854432084207914e+00,-5.874855195625067417e+00,5.157268497239713145e-01,5.570239968839739930e+00,-6.511377867880101533e-01,1.821189856980081068e-01,1.229307418293972276e-01,3.027102523451193905e-01,1.409252677932879116e+01,-2.617741666465799311e-01,0.000000000000000000e+00
